Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
San Marino,Europe,33928,694,,42,,520,,132,1,20455,1238,5238,154386,Europe
Uganda,Africa,45649727,694,8,,,199,38,495,,15,,142819,3129,Africa
Sao Tome and Principe,Africa,218931,650,11,12,,168,12,470,,2969,55,1395,6372,Africa
Malta,Europe,441487,646,1,9,,601,1,36,1,1463,20,80953,183364,Europe
Yemen,Asia,29787955,632,,139,,28,,465,,21,5,120,4,EasternMediterranean
Jamaica,North America,2960540,614,3,10,,417,9,187,2,207,3,15850,5354,Americas
Channel Islands,Europe,173781,565,,48,,512,,5,,3251,276,10255,59011,
Mozambique,Africa,31201863,553,44,2,,151,6,400,,18,0.06,18061,579,Africa
Togo,Africa,8267347,525,,13,,279,,233,1,64,2,24802,3000,Africa
Rwanda,Africa,12933152,510,,2,,321,,187,,39,0.2,85613,6620,Africa
Tanzania,Africa,59629682,509,,21,,183,,305,7,9,0.4,,,Africa
Palestine,Asia,5094473,489,,3,,414,,72,,96,0.6,44876,8809,EasternMediterranean
Réunion,Africa,894993,488,,1,,460,,27,2,545,1,17200,19218,
Malawi,Africa,19100310,481,,4,,65,,412,4,25,0.2,6690,350,Africa
Eswatini,Africa,1159544,472,,3,,246,,223,5,407,3,6551,5650,Africa
Liberia,Africa,5050706,446,25,32,,214,4,200,,88,6,,,Africa
Taiwan,Asia,23814740,443,,7,,431,,5,,19,0.3,73751,3097,WesternPacific
Benin,Africa,12104097,412,24,6,1,222,5,184,2,34,0.5,45758,3780,Africa
Libya,Africa,6866309,409,,6,,59,,344,,60,0.9,11765,1713,EasternMediterranean
Zimbabwe,Africa,14851276,343,,4,,51,,288,,23,0.3,52905,3562,Africa
Mauritius,Africa,1271669,337,,10,,325,,2,,265,8,137789,108353,Africa
Isle of Man,Europe,85011,336,,24,,312,,0,,3952,282,5484,64509,
Vietnam,Asia,97293994,334,1,,,323,,11,1,3,,275000,2826,WesternPacific
